rch_site,scenario,dx,dy,Transient,Stationary
1,100,25.0,-25.0,2523898.162841797,4286522.521972656
1,101,25.0,-25.0,1875451.3549804688,3701990.966796875
1,102,25.0,-25.0,2168649.7497558594,4089071.6552734375
1,103,25.0,-25.0,952355.95703125,1913416.5954589844
1,104,25.0,-25.0,1530835.4187011719,2748957.8247070312
1,105,25.0,-25.0,1275462.875366211,2025821.6857910156
1,106,25.0,-25.0,824043.0450439453,1155665.054321289
1,107,25.0,-25.0,1001739.9597167969,1361185.6079101562
1,108,25.0,-25.0,974775.2380371094,1889779.052734375
1,109,25.0,-25.0,1117323.226928711,799035.7971191406
1,10,25.0,-25.0,463071.32720947266,1074237.289428711
1,110,25.0,-25.0,1909236.1450195312,2221402.2827148438
1,111,25.0,-25.0,298148.36502075195,463156.43310546875
1,112,25.0,-25.0,1290471.3439941406,2380474.395751953
1,113,25.0,-25.0,2692513.7329101562,5175992.431640625
1,114,25.0,-25.0,672212.6007080078,1654995.7275390625
1,115,25.0,-25.0,2171340.1794433594,4041555.17578125
1,116,25.0,-25.0,373895.37811279297,644637.2985839844
1,117,25.0,-25.0,222709.44595336914,349636.26861572266
1,118,25.0,-25.0,1103122.9400634766,1557102.2033691406
1,119,25.0,-25.0,680579.3762207031,1148277.816772461
1,11,25.0,-25.0,754478.5308837891,1068110.122680664
1,120,25.0,-25.0,1457671.6613769531,3145841.9799804688
1,12,25.0,-25.0,169495.0294494629,285019.96994018555
1,13,25.0,-25.0,479997.1008300781,942739.0289306641
1,14,25.0,-25.0,1268738.8610839844,2524345.3979492188
1,15,25.0,-25.0,1078054.0466308594,2434897.3083496094
1,16,25.0,-25.0,724574.3560791016,1698209.3811035156
1,17,25.0,-25.0,1669538.57421875,3898266.9067382812
1,18,25.0,-25.0,191695.59478759766,667125.7781982422
1,19,25.0,-25.0,1134085.0830078125,4042073.3642578125
1,1,25.0,-25.0,495921.9741821289,983043.1365966797
1,20,25.0,-25.0,1202859.115600586,4838976.745605469
1,21,25.0,-25.0,963394.775390625,3084739.3798828125
1,22,25.0,-25.0,770719.0704345703,1640260.9252929688
1,23,25.0,-25.0,322592.04864501953,534463.6154174805
1,24,25.0,-25.0,871605.6823730469,1260206.2225341797
1,25,25.0,-25.0,1578563.6901855469,2298181.610107422
1,26,25.0,-25.0,1053086.5478515625,1600802.3071289062
1,27,25.0,-25.0,1303432.6171875,2015467.0715332031
1,28,25.0,-25.0,1088353.1951904297,2111032.71484375
1,29,25.0,-25.0,162038.87939453125,351511.87896728516
1,2,25.0,-25.0,610370.5978393555,1147804.6417236328
1,30,25.0,-25.0,709312.4389648438,1664693.2983398438
1,31,25.0,-25.0,2942955.6274414062,7326748.046875
1,32,25.0,-25.0,1158226.0131835938,3205193.4814453125
1,33,25.0,-25.0,1450497.2839355469,3087222.5952148438
1,34,25.0,-25.0,119955.5492401123,243049.41177368164
1,35,25.0,-25.0,1467740.6311035156,2319645.0805664062
1,36,25.0,-25.0,964917.6788330078,1526629.4860839844
1,37,25.0,-25.0,292737.4839782715,478311.72943115234
1,38,25.0,-25.0,18802.595138549805,30677.42347717285
1,39,25.0,-25.0,20123.47459793091,30342.845916748047
1,3,25.0,-25.0,1956314.3920898438,3971791.6870117188
1,40,25.0,-25.0,1562008.6669921875,2425170.5932617188
1,41,25.0,-25.0,1517992.7062988281,3249124.755859375
1,42,25.0,-25.0,1620263.5192871094,3828237.6098632812
1,43,25.0,-25.0,1179045.3338623047,2668497.314453125
1,44,25.0,-25.0,215001.85012817383,451420.6314086914
1,45,25.0,-25.0,232723.57940673828,366521.49200439453
1,46,25.0,-25.0,548249.1683959961,800516.8151855469
1,47,25.0,-25.0,566629.3334960938,875148.6206054688
1,48,25.0,-25.0,203348.33145141602,400386.31439208984
1,49,25.0,-25.0,1843809.0515136719,2762650.146484375
1,4,25.0,-25.0,1726523.1323242188,3522455.1391601562
1,50,25.0,-25.0,882156.9061279297,1343790.4357910156
1,51,25.0,-25.0,466094.32220458984,667182.3120117188
1,52,25.0,-25.0,697102.5848388672,1014309.3872070312
1,53,25.0,-25.0,699439.697265625,1128232.8033447266
1,54,25.0,-25.0,618660.3546142578,1043114.2425537109
1,55,25.0,-25.0,2136564.7888183594,2950074.462890625
1,56,25.0,-25.0,291946.3348388672,383841.1331176758
1,57,25.0,-25.0,442026.06201171875,530105.8959960938
1,58,25.0,-25.0,212073.95553588867,198206.42471313477
1,59,25.0,-25.0,2343793.487548828,4659547.7294921875
1,5,25.0,-25.0,802503.4332275391,2106141.357421875
