rch_site,scenario,dx,dy,center_x,center_y,area_site,recharge,Transient,Stationary
1,104,25.0,-25.0,212135.0,448086.842105263,647649.853894051,16.0773710717395,1457123.1079101562,1409274.5971679688
1,105,25.0,-25.0,213157.857142857,448086.842105263,964631.254577485,10.0634044136063,1224836.8835449219,1374511.5661621094
1,108,25.0,-25.0,216226.428571429,448086.842105263,577914.484301233,18.9577379579488,901143.5699462891,848099.2126464844
1,23,25.0,-25.0,215203.571428571,440792.105263158,113812.896383344,22.2139576964029,301367.3210144043,305341.9303894043
1,28,25.0,-25.0,208043.571428571,441834.210526316,418759.481965564,23.8554582301294,1029282.3791503906,950055.3894042969
1,30,25.0,-25.0,210089.285714286,441834.210526316,83196.7611972068,23.2187104155116,660588.3026123047,534911.6516113281
1,33,25.0,-25.0,213157.857142857,441834.210526316,996480.801616941,11.3112236098386,1375121.1547851562,1437243.1945800781
1,49,25.0,-25.0,204975.0,443918.421052632,948496.011815529,17.4595428809989,1804998.9318847656,1511421.9665527344
1,52,25.0,-25.0,208043.571428571,443918.421052632,882202.288630972,5.05206968870092,648850.4791259766,534929.6569824219
1,55,25.0,-25.0,211112.142857143,443918.421052632,929886.999659706,22.7168087053578,2057898.4069824219,1620207.0617675781
1,69,25.0,-25.0,213157.857142857,444960.52631579,420916.220878542,21.7133973308826,671445.6939697266,786219.5587158203
1,7,25.0,-25.0,211112.142857143,439750.0,663077.143806499,16.04441566429,1215643.6157226562,1764101.5625
1,71,25.0,-25.0,215203.571428571,444960.52631579,338647.592314577,21.5976582766808,1490378.8757324219,1209094.009399414
1,87,25.0,-25.0,207020.714285714,447044.736842105,553533.730439434,20.9713785785134,1688024.5971679688,1781645.2026367188
1,88,25.0,-25.0,208043.571428571,447044.736842105,371543.434216292,6.42355052755577,778059.7686767578,451952.6672363281
1,9,25.0,-25.0,213157.857142857,439750.0,19391.2533824041,23.4888085295291,66127.59113311768,37885.1842880249
1,90,25.0,-25.0,210089.285714286,447044.736842105,42275.1792109921,10.5530031724031,81453.5140991211,17021.772861480713
1,99,25.0,-25.0,207020.714285714,448086.842105263,424170.9166496,12.2831304231077,872079.1625976562,820566.9403076172
3,104,25.0,-25.0,224409.285714286,448086.842105263,565469.263098552,21.3291823343219,3288974.9145507812,2779337.7685546875
3,105,25.0,-25.0,225432.142857143,448086.842105263,404250.808708195,6.5217894827753,385736.2747192383,481113.4719848633
3,108,25.0,-25.0,228500.714285714,448086.842105263,51969.1178381618,10.5643455433245,64408.512115478516,33731.05525970459
3,23,25.0,-25.0,227477.857142857,440792.105263158,894997.732284217,21.1309746517476,2296315.0024414062,1943046.2646484375
