y,y_hat0500,y_hat0250,y_hat1000,ABS_err0500,ABS_err0250,ABS_err1000,Pc_err0500,Pc_err0250,Pc_err1000
-1.597109289,-1.751237154,-1.657795787,-1.782694459,0.154127865,0.060686498,0.18558517,9.650426954,3.799771159,11.62006705
-1.856248883,-1.836229682,-1.732352495,-1.844725132,0.020019202,0.123896388,0.011523752,1.078476151,6.674556919,0.620808535
-1.522471315,-1.176822782,-1.343051434,-1.076035023,0.345648534,0.179419882,0.446436293,22.7031229,11.78477913,29.32313326
-1.446181557,-1.356599092,-1.303295016,-1.461509943,0.089582464,0.14288654,0.015328386,6.194413402,9.880262938,1.0599213
-1.467958314,-1.511359334,-1.428843975,-1.542749166,0.04340102,0.039114339,0.074790853,2.956556719,2.664540157,5.094889409
-1.803767664,-1.710269213,-1.709758639,-1.704446912,0.093498451,0.094009024,0.099320752,5.183508544,5.211814484,5.506294069
-1.82934275,-1.82651484,-1.664421916,-1.749198079,0.00282791,0.164920834,0.080144671,0.154586108,9.015305299,4.381063679
-1.71135715,-1.65050149,-1.568097591,-1.522922397,0.06085566,0.143259558,0.188434753,3.555988295,8.37110817,11.01083739
-1.124536542,-1.167398691,-1.170990944,-1.22963953,0.042862149,0.046454402,0.105102988,3.811539034,4.130981987,9.346338188
-1.327976379,-1.363884211,-1.288987875,-1.417154551,0.035907831,0.038988504,0.089178171,2.703951064,2.935933559,6.715343194
-1.090059039,-1.176776886,-1.137340307,-1.328474641,0.086717847,0.047281268,0.238415602,7.955334908,4.337496117,21.87180635
-1.652458631,-1.716870666,-1.714823961,-1.652873039,0.064412035,0.062365331,0.000414409,3.897951431,3.774093306,0.025078301
-1.611020705,-1.68085885,-1.795046449,-1.621734023,0.069838146,0.184025744,0.010713318,4.335024708,11.42292854,0.665001895
-1.885164235,-1.722238183,-1.878546238,-1.545469642,0.162926052,0.006617997,0.339694593,8.642538868,0.351056776,18.01936334
-1.678524135,-1.572117925,-1.5707618,-1.62724185,0.10640621,0.107762335,0.051282285,6.339271962,6.420064656,3.055200909
-1.825666801,-1.765636325,-1.841012716,-1.668601513,0.060030476,0.015345915,0.157065288,3.288139757,0.840564964,8.6031738
-1.044181077,-1.238739252,-1.135038972,-1.195749164,0.194558175,0.090857895,0.151568087,18.6326088,8.7013543,14.51549833
-1.631261852,-1.872868061,-1.71040535,-1.751620293,0.241606209,0.079143498,0.120358441,14.81100099,4.851673423,7.378241605
-1.27057266,-0.985145926,-0.937024176,-1.203606009,0.285426734,0.333548484,0.066966651,22.46441647,26.25182287,5.270588061
-1.775021139,-1.687285662,-1.586995959,-1.653619051,0.087735477,0.188025179,0.121402088,4.942784907,10.5928417,6.839472782
-1.854351053,-1.885829091,-1.744681716,-1.873869658,0.031478038,0.109669337,0.019518604,1.697523118,5.914162644,1.052584096
-1.346161904,-1.438997507,-1.433086514,-1.476064086,0.092835603,0.086924611,0.129902182,6.896317819,6.457218139,9.649818625
-1.422721784,-1.468016028,-1.445275545,-1.520779252,0.045294244,0.022553761,0.098057468,3.183633301,1.585254507,6.892244798
-1.611574388,-1.587299705,-1.653301001,-1.450548172,0.024274684,0.041726612,0.161026216,1.50627137,2.589183145,9.991857488
-1.526912243,-1.365565777,-1.517238498,-1.362523794,0.161346466,0.009673745,0.164388448,10.56684604,0.633549499,10.76607049
-1.89035181,-1.998424053,-1.917760849,-1.906684399,0.108072244,0.027409039,0.016332589,5.717043944,1.449943831,0.863997327
-1.53512949,-1.553098321,-1.534224272,-1.659475207,0.017968831,0.000905219,0.124345717,1.170509109,0.058966925,8.100014863
-1.598568394,-1.631894588,-1.649485826,-1.564924836,0.033326195,0.050917433,0.033643557,2.084752521,3.185189517,2.104605444
-1.663354973,-1.655958891,-1.554289103,-1.627075911,0.007396082,0.10906587,0.036279062,0.444648447,6.556981053,2.181077581
-1.655667161,-1.8502388,-1.722456217,-1.686589599,0.19457164,0.066789056,0.030922438,11.75185715,4.03396636,1.867672373
-1.497484621,-1.388174176,-1.575140953,-1.332281947,0.109310444,0.077656332,0.165202673,7.299603807,5.185784976,11.03201136
-1.726231193,-1.690553546,-1.710361958,-1.738885999,0.035677647,0.015869235,0.012654806,2.066794244,0.919299535,0.733088702
-1.661494122,-1.412546039,-1.463727713,-1.451403975,0.248948083,0.197766409,0.210090146,14.98338633,11.9029256,12.64465179
-0.915658192,-0.724321663,-0.893562734,-0.662885904,0.191336529,0.022095458,0.252772288,20.89606478,2.413068374,27.60552903
-1.028118425,-1.253396034,-1.03774786,-1.370032072,0.22527761,0.009629435,0.341913648,21.91164017,0.936607615,33.25625136
-1.61918946,-1.582543969,-1.670809269,-1.510554552,0.036645491,0.051619809,0.108634908,2.263199674,3.188003041,6.709215342
-1.578115167,-1.665259242,-1.753690839,-1.71686995,0.087144075,0.175575672,0.138754784,5.522035227,11.12565647,8.792437117
-1.463917376,-1.645010948,-1.61507082,-1.542871356,0.181093572,0.151153444,0.07895398,12.37047767,10.32527151,5.393335801
-1.456387696,-1.848553538,-1.816938639,-1.713772655,0.392165842,0.360550943,0.257384958,26.92729712,24.75652214,17.67283252
-1.742541377,-1.828482032,-1.79387629,-1.736192465,0.085940655,0.051334913,0.006348912,4.931914727,2.945979589,0.364347859
-1.175231258,-1.318276644,-1.257295847,-1.398570299,0.143045386,0.082064589,0.223339041,12.17167979,6.982845986,19.0038377
-1.664619399,-1.53261292,-1.637908459,-1.7030828,0.132006479,0.02671094,0.038463401,7.930129813,1.604627481,2.310642354
-1.867322736,-1.861031294,-1.850699902,-1.817598581,0.006291442,0.016622834,0.049724154,0.336923113,0.890196101,2.662858085
-1.753697188,-1.709946513,-1.530654192,-1.766100049,0.043750675,0.223042996,0.012402861,2.494767935,12.71844409,0.707240725
-1.807725554,-1.746222973,-1.675585032,-1.771216273,0.061502581,0.132140522,0.03650928,3.40220786,7.309766793,2.019625178
-1.684575692,-1.754447937,-1.629760265,-1.736549258,0.069872245,0.054815427,0.051973566,4.147765235,3.253960449,3.085261552
-1.763477363,-1.837350249,-1.836662412,-1.846854448,0.073872887,0.073185049,0.083377086,4.189046486,4.150041869,4.727992958
-1.652596163,-1.632252455,-1.686611652,-1.486478567,0.020343709,0.034015489,0.166117596,1.231015122,2.058306179,10.0519171
-2.0175118,-2.028031826,-1.907209158,-2.074570179,0.010520026,0.110302642,0.057058379,0.521435681,5.467261292,2.828155918
-1.826307561,-1.622174978,-1.644155145,-1.603542924,0.204132583,0.182152416,0.222764637,11.17733875,9.973808362,12.19754228
-1.766210496,-1.749688506,-1.693834662,-1.661037564,0.016521989,0.072375833,0.105172931,0.935448491,4.097803365,5.954722358
-1.689793094,-1.514694571,-1.488260269,-1.587103009,0.175098523,0.201532825,0.102690085,10.36212795,11.92647938,6.077080392
-2.11435011,-2.030189991,-1.928087711,-2.075665951,0.084160119,0.186262399,0.03868416,3.980424956,8.809439752,1.829600476
-1.966140137,-1.877841949,-1.824372172,-1.927169919,0.088298188,0.141767965,0.038970218,4.490940694,7.210471011,1.982067159
-1.771681014,-1.760214329,-1.834578514,-1.815030217,0.011466686,0.0628975,0.043349203,0.647220666,3.550159377,2.446783726
-2.114099482,-2.232262135,-2.064166784,-2.06473875,0.118162652,0.049932698,0.049360732,5.589266422,2.361889694,2.334834857
-2.178901315,-2.168703079,-2.141379118,-2.137654305,0.010198236,0.037522197,0.041247011,0.468044885,1.722069612,1.89301877
-1.511006928,-1.441442013,-1.508067369,-1.387227774,0.069564915,0.002939559,0.123779155,4.603877995,0.194543039,8.191832365
-2.099342739,-1.896378875,-1.923539042,-1.947157621,0.202963864,0.175803696,0.152185117,9.667971805,8.374225568,7.249179215
-1.509320186,-1.597944617,-1.609078526,-1.553950071,0.088624431,0.09975834,0.044629885,5.871811168,6.609488258,2.956952787
-1.882714377,-1.835587502,-1.795092106,-1.853002548,0.047126876,0.087622271,0.029711829,2.503134638,4.654039531,1.578137894
