y,y_hat,label
-1.5971092887254,-1.73450422286987,workflow
-1.8562488834887,-1.82949364185333,workflow
-1.52247131545249,-1.33336246013641,workflow
-1.44618155664898,-1.36839389801025,workflow
-1.46795831382525,-1.46727931499481,workflow
-1.80376766368936,-1.77119696140289,workflow
-1.82934274988413,-1.77108407020569,workflow
-1.71135714956343,-1.66554510593414,workflow
-1.12453654192759,-1.22007846832275,workflow
-1.32797637915767,-1.34029591083527,workflow
-1.09005903876117,-1.07195329666138,workflow
-1.65245863070003,-1.80598068237305,workflow
-1.61102070487159,-1.85083091259003,workflow
-1.88516423473954,-1.94716107845306,workflow
-1.67852413451979,-1.5723432302475,workflow
-1.82566680079851,-1.88352715969086,workflow
-1.04418107687372,-1.00368690490723,workflow
-1.6312618520054,-1.78901839256287,workflow
-1.27057266042845,-0.972264766693115,workflow
-1.77502113863466,-1.53766107559204,workflow
-1.85435105324663,-1.78638243675232,workflow
-1.34616190384182,-1.43776261806488,workflow
-1.42272178391714,-1.49295318126678,workflow
-1.61157438817057,-1.70693504810333,workflow
-1.52691224259046,-1.53436040878296,workflow
-1.89035180955273,-2.08232402801514,workflow
-1.53512949043623,-1.54894125461578,workflow
-1.59856839359007,-1.79870009422302,workflow
-1.66335497297697,-1.61868381500244,workflow
-1.65566716051623,-1.67151021957397,workflow
-1.49748462058811,-1.61264324188232,workflow
-1.72623119287702,-1.61379277706146,workflow
-1.66149412174577,-1.54225373268127,workflow
-0.915658192383998,-0.899823129177094,workflow
-1.0281184245006,-1.18440961837769,workflow
-1.61918945973341,-1.73813450336456,workflow
-1.57811516663328,-1.86843740940094,workflow
-1.46391737607631,-1.6913138628006,workflow
-1.45638769617009,-1.89604246616364,workflow
-1.74254137703261,-1.77713370323181,workflow
-1.17523125819496,-1.2733541727066,workflow
-1.66461939904401,-1.66762506961823,workflow
-1.86732273576172,-1.83864998817444,workflow
-1.75369718830823,-1.53678917884827,workflow
-1.80772555374932,-1.55495703220367,workflow
-1.68457569209624,-1.5001448392868,workflow
-1.76347736278653,-1.66915047168732,workflow
-1.65259616343097,-1.5432847738266,workflow
-2.01751179962179,-1.90096318721771,workflow
-1.8263075609161,-1.56980228424072,workflow
-1.76621049555372,-1.48433661460876,workflow
-1.68979309400981,-1.48608756065369,workflow
-2.11435011045996,-1.8892856836319,workflow
-1.96614013697024,-1.78462970256805,workflow
-1.77168101443455,-1.75786924362183,workflow
-2.11409948206877,-1.86347019672394,workflow
-2.1789013153903,-1.97508668899536,workflow
-1.51100692825638,-1.4374315738678,workflow
-2.09934273886491,-1.97747802734375,workflow
-1.50932018602644,-1.59918761253357,workflow
-1.88271437723897,-1.73806619644165,workflow
-2.1959131144679,-1.84696793556213,workflow
-1.52026654805678,-1.46891272068024,workflow
-1.44615988379577,-1.52598822116852,workflow
-1.4447312753136,-1.40519654750824,workflow
-2.13148318698968,-1.78073024749756,workflow
-1.82126775241879,-1.79025399684906,workflow
-2.01557304476162,-1.64671504497528,workflow
-1.38367351737543,-1.33804357051849,workflow
-2.00176200372204,-1.68105971813202,workflow
-1.76772893726088,-1.53377377986908,workflow
-1.36456032205193,-1.25104975700378,workflow
-1.66327020203794,-1.7168163061142,workflow
-1.94924605825194,-1.58614850044251,workflow
-1.98299395345824,-1.79595541954041,workflow
-1.59820464295985,-1.53402876853943,workflow
-1.69606042770425,-1.76863789558411,workflow
-1.57609565615266,-1.52471530437469,workflow
-1.39782963199679,-1.38995909690857,workflow
-1.67356356842994,-1.72448992729187,workflow
-1.60514730524833,-1.50858390331268,workflow
-1.13850019917081,-1.27034795284271,workflow
-1.82509881029699,-1.80389046669006,workflow
-1.98926461348407,-1.94024872779846,workflow
-1.71914598364807,-1.8523873090744,workflow
-1.92234766231918,-1.91142559051514,workflow
-1.6846370079933,-1.72597742080688,workflow
-1.45242452723109,-1.35069513320923,workflow
-1.67521763996767,-1.80972564220428,workflow
-1.69120268396888,-1.73393070697784,workflow
-1.52483949902041,-1.39142024517059,workflow
-1.80588388597083,-1.76941740512848,workflow
-2.08078012889117,-1.85836279392242,workflow
-2.03967730768366,-2.05559182167053,workflow
-2.2803370520317,-2.49519109725952,workflow
-1.93875872641645,-1.79336202144623,workflow
-2.40120021437392,-2.31689953804016,workflow
-1.45002778513991,-1.50336444377899,workflow
-1.58739887409282,-1.71802997589111,workflow
-1.50467005355475,-1.54491066932678,workflow
-2.10362303079902,-1.79923975467682,workflow
-2.06908761232061,-2.10607361793518,workflow
-1.12919578352817,-1.18762099742889,workflow
-1.88372368321874,-1.88814806938171,workflow
-1.65615682491572,-1.66943347454071,workflow
-1.58674736374455,-1.5710871219635,workflow
-1.70556862039703,-1.70470786094666,workflow
-2.03345333457184,-1.71290135383606,workflow
-1.7555901121855,-1.79712641239166,workflow
-2.13028799350108,-2.08240842819214,workflow
-2.00509971351343,-1.81080317497253,workflow
-1.40512293542105,-1.48187136650085,workflow
-1.82563397812732,-1.80698025226593,workflow
-1.30165915875108,-1.10672640800476,workflow
-2.13090568704684,-1.79882121086121,workflow
-1.5066593511382,-1.45452332496643,workflow
-2.06924252537799,-1.72648692131042,workflow
-1.55422935098021,-1.63056719303131,workflow
-1.74184087751017,-1.64825069904327,workflow
-1.86535702040904,-1.86675333976746,workflow
