y,y_hat,label
-1.5971092887254,-1.70590937137604,workflow
-1.8562488834887,-1.80576002597809,workflow
-1.52247131545249,-1.29170632362366,workflow
-1.44618155664898,-1.317826628685,workflow
-1.46795831382525,-1.4665185213089,workflow
-1.80376766368936,-1.69104039669037,workflow
-1.82934274988413,-1.69678902626038,workflow
-1.71135714956343,-1.59550070762634,workflow
-1.12453654192759,-1.20151782035828,workflow
-1.32797637915767,-1.31314313411713,workflow
-1.09005903876117,-1.04464280605316,workflow
-1.65245863070003,-1.72603356838226,workflow
-1.61102070487159,-1.77259516716003,workflow
-1.88516423473954,-1.95132088661194,workflow
-1.67852413451979,-1.52861678600311,workflow
-1.82566680079851,-1.83992922306061,workflow
-1.04418107687372,-0.991867184638977,workflow
-1.6312618520054,-1.73644113540649,workflow
-1.27057266042845,-0.906243681907654,workflow
-1.77502113863466,-1.58611083030701,workflow
-1.85435105324663,-1.7295618057251,workflow
-1.34616190384182,-1.4384104013443,workflow
-1.42272178391714,-1.48969399929047,workflow
-1.61157438817057,-1.63654816150665,workflow
-1.52691224259046,-1.50561356544495,workflow
-1.89035180955273,-1.96921253204346,workflow
-1.53512949043623,-1.51308298110962,workflow
-1.59856839359007,-1.70424163341522,workflow
-1.66335497297697,-1.5631982088089,workflow
-1.65566716051623,-1.63177716732025,workflow
-1.49748462058811,-1.56866943836212,workflow
-1.72623119287702,-1.61456215381622,workflow
-1.66149412174577,-1.53595244884491,workflow
-0.915658192383998,-0.801539897918701,workflow
-1.0281184245006,-1.18148493766785,workflow
-1.61918945973341,-1.67097401618958,workflow
-1.57811516663328,-1.78405809402466,workflow
-1.46391737607631,-1.62313425540924,workflow
-1.45638769617009,-1.75808918476105,workflow
-1.74254137703261,-1.7911628484726,workflow
-1.17523125819496,-1.26210379600525,workflow
-1.66461939904401,-1.68131232261658,workflow
-1.86732273576172,-1.84110116958618,workflow
-1.75369718830823,-1.51760542392731,workflow
-1.80772555374932,-1.7013498544693,workflow
-1.68457569209624,-1.66355931758881,workflow
-1.76347736278653,-1.80346465110779,workflow
-1.65259616343097,-1.69066631793976,workflow
-2.01751179962179,-1.8973902463913,workflow
-1.8263075609161,-1.61984276771545,workflow
-1.76621049555372,-1.62252795696259,workflow
-1.68979309400981,-1.47817921638489,workflow
-2.11435011045996,-1.90473699569702,workflow
-1.96614013697024,-1.81661832332611,workflow
-1.77168101443455,-1.78466093540192,workflow
-2.11409948206877,-1.99066185951233,workflow
-2.1789013153903,-2.08712124824524,workflow
-1.51100692825638,-1.45121109485626,workflow
-2.09934273886491,-1.90521585941315,workflow
-1.50932018602644,-1.63390791416168,workflow
-1.88271437723897,-1.78375649452209,workflow
-2.1959131144679,-1.79353106021881,workflow
-1.52026654805678,-1.45454037189484,workflow
-1.44615988379577,-1.52002763748169,workflow
-1.4447312753136,-1.41018199920654,workflow
-2.13148318698968,-1.77191293239594,workflow
-1.82126775241879,-1.78715395927429,workflow
-2.01557304476162,-1.63854706287384,workflow
-1.38367351737543,-1.46916925907135,workflow
-2.00176200372204,-1.63883054256439,workflow
-1.76772893726088,-1.51920175552368,workflow
-1.36456032205193,-1.21303069591522,workflow
-1.66327020203794,-1.72436952590942,workflow
-1.94924605825194,-1.69942176342011,workflow
-1.98299395345824,-1.82962644100189,workflow
-1.59820464295985,-1.5992134809494,workflow
-1.69606042770425,-1.76061499118805,workflow
-1.57609565615266,-1.48366856575012,workflow
-1.39782963199679,-1.41438102722168,workflow
-1.67356356842994,-1.77310347557068,workflow
-1.60514730524833,-1.5061811208725,workflow
-1.13850019917081,-1.21911418437958,workflow
-1.82509881029699,-1.78617668151855,workflow
-1.98926461348407,-1.90133333206177,workflow
-1.71914598364807,-1.79231262207031,workflow
-1.92234766231918,-1.92613554000855,workflow
-1.6846370079933,-1.7617039680481,workflow
-1.45242452723109,-1.36808288097382,workflow
-1.67521763996767,-1.72397577762604,workflow
-1.69120268396888,-1.74239897727966,workflow
-1.52483949902041,-1.34745585918427,workflow
-1.80588388597083,-1.84789955615997,workflow
-2.08078012889117,-1.90188121795654,workflow
-2.03967730768366,-2.11064672470093,workflow
-2.2803370520317,-2.48371076583862,workflow
-1.93875872641645,-1.81217873096466,workflow
-2.40120021437392,-2.3284764289856,workflow
-1.45002778513991,-1.51324987411499,workflow
-1.58739887409282,-1.7362734079361,workflow
-1.50467005355475,-1.56749737262726,workflow
-2.10362303079902,-1.90321326255798,workflow
-2.06908761232061,-2.12911987304688,workflow
-1.12919578352817,-1.18336617946625,workflow
-1.88372368321874,-1.7942955493927,workflow
-1.65615682491572,-1.66251683235168,workflow
-1.58674736374455,-1.59661316871643,workflow
-1.70556862039703,-1.69323778152466,workflow
-2.03345333457184,-1.75614476203918,workflow
-1.7555901121855,-1.81535315513611,workflow
-2.13028799350108,-2.14820694923401,workflow
-2.00509971351343,-1.87726533412933,workflow
-1.40512293542105,-1.49441969394684,workflow
-1.82563397812732,-1.85097932815552,workflow
-1.30165915875108,-1.21834695339203,workflow
-2.13090568704684,-1.84584987163544,workflow
-1.5066593511382,-1.48452210426331,workflow
-2.06924252537799,-1.82253301143646,workflow
-1.55422935098021,-1.69066309928894,workflow
-1.74184087751017,-1.7006014585495,workflow
-1.86535702040904,-1.87687849998474,workflow
