time,rch_site,scenario,dx,dy,total,total_water,maximum,area
2011-10-01,1,100,25,-25,446642.265319824,64886.7511749268,0.5827475,4016875
2011-10-01,1,101,25,-25,450873.985290527,61802.716255188,0.51928043,4483750
2011-10-01,1,102,25,-25,368592.872619629,53805.4800033569,0.37585115,4454375
2011-10-01,1,103,25,-25,239588.203430176,32181.7946434021,0.40570164,3482500
2011-10-01,1,104,25,-25,608378.562927246,69250.0972747803,0.68140125,4916250
2011-10-01,1,105,25,-25,523568.267822266,53844.9192047119,0.4176092,5085625
2011-10-01,1,106,25,-25,480108.337402344,37359.6930503845,0.6782646,4318750
2011-10-01,1,107,25,-25,539494.895935059,48185.6918334961,0.5464573,5179375
2011-10-01,1,108,25,-25,549973.106384277,46444.3349838257,0.5387907,5473125
2011-10-01,1,109,25,-25,617864.646911621,60921.4401245117,0.9490886,2509375
2011-10-01,1,10,25,-25,120409.94644165,15797.9714870453,0.2273264,1610000
2011-10-01,1,110,25,-25,911176.147460938,105877.885818481,0.96398306,4897500
2011-10-01,1,111,25,-25,83708.2386016846,10986.9623184204,0.3447671,1489375
2011-10-01,1,112,25,-25,423680.91583252,51389.2269134522,0.341784,5173750
2011-10-01,1,113,25,-25,996372.0703125,116510.362625122,0.7222605,7245000
2011-10-01,1,114,25,-25,179269.695281982,22101.2330055237,0.30255175,3378125
2011-10-01,1,115,25,-25,710221.02355957,92787.8856658936,0.5145736,6522500
2011-10-01,1,116,25,-25,92823.1525421143,11934.5104694366,0.21881151,2043750
2011-10-01,1,117,25,-25,87805.5572509766,8256.93249702454,0.1523428,2010625
2011-10-01,1,118,25,-25,655045.623779297,48388.0138397217,0.6228647,5748750
2011-10-01,1,119,25,-25,283462.69607544,24645.1234817505,0.27329063,4066875
2011-10-01,1,11,25,-25,438180.465698242,46051.8503189087,0.7039013,1982500
2011-10-01,1,120,25,-25,847693.328857422,84172.7733612061,0.7388382,6504375
2011-10-01,1,12,25,-25,65985.1503372192,7687.91794776917,0.2816906,827500
2011-10-01,1,13,25,-25,203392.086029053,20047.0352172852,0.2502098,2455625
2011-10-01,1,14,25,-25,276420.764923096,35764.6036148071,0.29532146,3470000
2011-10-01,1,15,25,-25,390426.025390625,50992.3458099365,0.50242996,3647500
2011-10-01,1,16,25,-25,214234.676361084,27106.2088012695,0.25841808,2818750
2011-10-01,1,17,25,-25,714766.998291016,95661.8022918701,0.7211561,4408750
2011-10-01,1,18,25,-25,33843.047618866,4783.50222110748,0.11463642,972500
2011-10-01,1,19,25,-25,169443.702697754,28236.3963127136,0.18523693,2876875
2011-10-01,1,1,25,-25,200835.151672363,20995.7098960876,0.25797462,1949375
2011-10-01,1,20,25,-25,262805.252075195,40280.2991867065,0.34204388,3319375
2011-10-01,1,21,25,-25,289312.934875488,30539.3290519714,0.24306583,3998125
2011-10-01,1,22,25,-25,342871.551513672,28415.5988693237,0.389472,3601875
2011-10-01,1,23,25,-25,93649.8355865479,10988.1293773651,0.4854374,1145625
2011-10-01,1,24,25,-25,305349.998474121,47435.5459213257,0.72756577,1715000
2011-10-01,1,25,25,-25,999866.333007813,74522.1281051636,0.7515049,6566250
2011-10-01,1,26,25,-25,687707.366943359,53076.605796814,0.6797676,6364375
2011-10-01,1,27,25,-25,852203.826904297,77313.2944107056,0.7225027,6058750
2011-10-01,1,28,25,-25,485865.40222168,59429.202079773,0.67900276,4153750
2011-10-01,1,29,25,-25,16211.8017673492,2786.54098510742,0.0810709,591875
2011-10-01,1,2,25,-25,97326.1547088623,16021.1288928986,0.31348133,1356875
2011-10-01,1,30,25,-25,53565.8740997315,10525.586605072,0.22318268,1213750
2011-10-01,1,31,25,-25,421956.176757813,74889.5215988159,0.5848608,4071250
2011-10-01,1,32,25,-25,226294.803619385,32651.4887809753,0.27863503,3458750
2011-10-01,1,33,25,-25,710976.791381836,58082.9954147339,0.53759384,6301875
2011-10-01,1,34,25,-25,54165.2917861939,4306.21355772018,0.19613457,1541250
2011-10-01,1,35,25,-25,403992.538452149,42970.8957672119,0.41964436,4130625
2011-10-01,1,36,25,-25,260868.816375732,33663.0344390869,0.7276554,1993750
2011-10-01,1,37,25,-25,133903.961181641,8174.53145980835,0.21699429,2915625
2011-10-01,1,38,25,-25,7952.16143131256,622.235909104347,0.06290722,408125
2011-10-01,1,39,25,-25,8075.3892660141,570.27779519558,0.052887917,416875
2011-10-01,1,3,25,-25,464995.536804199,68828.5970687866,0.50069046,3041875
2011-10-01,1,40,25,-25,750032.730102539,83087.6159667969,0.5764017,6445000
2011-10-01,1,41,25,-25,488245.811462402,64871.506690979,0.38637733,5396250
2011-10-01,1,42,25,-25,643484.344482422,78120.5415725708,0.57163334,5881250
2011-10-01,1,43,25,-25,506456.069946289,53338.3178710938,0.5415716,5474375
2011-10-01,1,44,25,-25,80353.5556793213,7519.5586681366,0.18601322,2163125
2011-10-01,1,45,25,-25,120074.501037598,8122.33626842499,0.25692463,2791875
2011-10-01,1,46,25,-25,231413.822174072,18453.5360336304,0.33409977,3829375
2011-10-01,1,47,25,-25,122065.191268921,14022.456407547,0.5955086,2130000
2011-10-01,1,48,25,-25,17620.9497451782,3648.38004112244,0.08299637,574375
2011-10-01,1,49,25,-25,917299.194335938,81999.8168945313,0.7994127,6075625
2011-10-01,1,4,25,-25,587934.188842774,83738.8420104981,0.5908289,3211250
2011-10-01,1,50,25,-25,359189.224243164,27531.6476821899,0.43311596,5010000
2011-10-01,1,51,25,-25,225558.490753174,14718.0044651032,0.25841904,3872500
